Policy #,Policy_type,Policy year,Seller Number,Amount of coverage_policy (in dollar),Business_type_Seller,Industry_Seller,Date of establishment (Seller)
1,One_buyer,2015,100000,45000,Individual Business,Manufacturing,1972-10
2,One_buyer,2015,100100,2000,Corporation,Manufacturing,1963-07
3,Multiple buyers,2015,100200,1136000,Corporation,Manufacturing,1954-12
4,Multiple buyers,2015,100300,796000,Corporation,Manufacturing,1975-05
6,Multiple buyers,2015,100500,305000,Corporation,Manufacturing,1972-12
7,###,2015,100500,700000,Corporation,Manufacturing,1972-12
8,Multiple buyers,2015,100600,875000,Corporation,Manufacturing,1959-09
8,Multiple buyers,2015,100600,875000,Corporation,Manufacturing,1959-09
9,One_buyer,2015,100700,10000,Corporation,Manufacturing,1972-01
10,Multiple buyers,2015,100800,265000,Corporation,Manufacturing,1975-10
10,Multiple buyers,2015,100800,265000,Corporation,Manufacturing,1975-10
11,,2015,100900,#N/A,Corporation,Manufacturing,1968-08
12,One_buyer,2015,101000,10000,Corporation,Wholesale Trade,1975-04
13,Multiple buyers,2015,101100,2992000,Corporation,Wholesale Trade,1955-11
13,Multiple buyers,2015,101100,2992000,Corporation,Wholesale Trade,1955-11
14,Multiple buyers,2015,101200,1487000,Corporation,Manufacturing,1973-10
14,Multiple buyers,2015,101200,1487000,Corporation,Manufacturing,1973-10
15,Multiple buyers,2015,101300,322000,Corporation,Manufacturing,1978-02
15,Multiple buyers,2015,101300,322000,Corporation,Manufacturing,1978-02
16,Multiple buyers,2015,101300,822000,Corporation,Manufacturing,1978-02
16,Multiple buyers,2015,101300,822000,Corporation,Manufacturing,1978-02
17,Multiple buyers,2015,101400,2498000,Corporation,Manufacturing,1976-07
17,Multiple buyers,2015,101400,2498000,Corporation,Manufacturing,1976-07
18,Multiple buyers,2015,101500,620000,Corporation,Manufacturing,1978-03
18,Multiple buyers,2015,101500,620000,Corporation,Manufacturing,1978-03
19,Multiple buyers,2015,101600,1293000,Corporation,Manufacturing,1977-09
19,Multiple buyers,2015,101600,1293000,Corporation,Manufacturing,1977-09
20,Multiple buyers,2015,101700,2500000,Corporation,Manufacturing,1978-08
20,Multiple buyers,2015,101700,2500000,Corporation,Manufacturing,1978-08
21,Multiple buyers,2015,101800,347000,Individual Business,Manufacturing,1983-01
21,Multiple buyers,2015,101800,347000,Individual Business,Manufacturing,1983-01
21,Multiple buyers,2015,101800,347000,Individual Business,Manufacturing,1983-01
22,One_buyer,2015,101900,20000,Corporation,Manufacturing,1966-05
23,Multiple buyers,2015,102000,532000,Corporation,Manufacturing,1978-11
23,Multiple buyers,2015,102000,532000,Corporation,Manufacturing,1978-11
24,Multiple buyers,2015,102100,1460000,Corporation,Manufacturing,1973-02
24,Multiple buyers,2015,102100,1460000,Corporation,Manufacturing,1973-02
25,,2015,102200,#N/A,Corporation,Manufacturing,1977-09
26,Multiple buyers,2015,102300,1200000,Corporation,Manufacturing,1973-10
26,Multiple buyers,2015,102300,1200000,Corporation,Manufacturing,1973-10
26,Multiple buyers,2015,102300,1200000,Corporation,Manufacturing,1973-10
26,Multiple buyers,2015,102300,1200000,Corporation,Manufacturing,1973-10
27,One_buyer,2015,102400,10000,Corporation,Wholesale Trade,1977-03
28,Multiple buyers,2015,102500,2398000,Corporation,Manufacturing,1964-07
28,Multiple buyers,2015,102500,2398000,Corporation,Manufacturing,1964-07
29,Multiple buyers,2015,102600,808000,Corporation,Manufacturing,1978-09
29,Multiple buyers,2015,102600,808000,Corporation,Manufacturing,1978-09
29,Multiple buyers,2015,102600,808000,Corporation,Manufacturing,1978-09
30,One_buyer,2015,102700,20000,Corporation,Manufacturing,1980-12
31,Multiple buyers,2015,102800,1977000,Corporation,Manufacturing,1978-09
31,Multiple buyers,2015,102800,1977000,Corporation,Manufacturing,1978-09
32,Multiple buyers,2015,102900,474000,Corporation,Manufacturing,1979-10
33,Multiple buyers,2015,103000,341000,Individual Business,Wholesale Trade,1969-04
33,Multiple buyers,2015,103000,341000,Individual Business,Wholesale Trade,1969-04
33,Multiple buyers,2015,103000,341000,Individual Business,Wholesale Trade,1969-04
34,One_buyer,2015,103100,80000,Corporation,Manufacturing,1978-12
35,One_buyer,2015,103100,120000,Corporation,Manufacturing,1978-12
36,Multiple buyers,2015,103200,1000000,Individual Business,Manufacturing,1979-04
36,Multiple buyers,2015,103200,1000000,Individual Business,Manufacturing,1979-04
36,Multiple buyers,2015,103200,1000000,Individual Business,Manufacturing,1979-04
37,One_buyer,2015,103200,500000,Individual Business,Manufacturing,1979-04
38,Multiple buyers,2015,103300,994000,Corporation,Manufacturing,1979-05
38,Multiple buyers,2015,103300,994000,Corporation,Manufacturing,1979-05
38,Multiple buyers,2015,103300,994000,Corporation,Manufacturing,1979-05
38,Multiple buyers,2015,103300,994000,Corporation,Manufacturing,1979-05
39,One_buyer,2015,103400,30000,Corporation,Manufacturing,1979-03
41,Multiple buyers,2015,103500,1500000,Corporation,Manufacturing,1982-04
41,Multiple buyers,2015,103500,1500000,Corporation,Manufacturing,1982-04
41,Multiple buyers,2015,103500,1500000,Corporation,Manufacturing,1982-04
41,Multiple buyers,2015,103500,1500000,Corporation,Manufacturing,1982-04
42,One_buyer,2015,103600,120000,Corporation,Manufacturing,1981-02
43,One_buyer,2015,103700,8000,Corporation,Utilities,1981-08
44,Multiple buyers,2015,103800,1483000,Corporation,Manufacturing,1982-12
44,Multiple buyers,2015,103800,1483000,Corporation,Manufacturing,1982-12
45,Multiple buyers,2015,103900,165000,Corporation,Manufacturing,1975-06
45,Multiple buyers,2015,103900,165000,Corporation,Manufacturing,1975-06
46,One_buyer,2015,104000,600000,Corporation,Manufacturing,1982-03
47,Multiple buyers,2015,104100,2350000,Corporation,Manufacturing,1980-12
47,Multiple buyers,2015,104100,2350000,Corporation,Manufacturing,1980-12
47,Multiple buyers,2015,104100,2350000,Corporation,Manufacturing,1980-12
48,One_buyer,2015,104200,17000,Corporation,Wholesale Trade,1982-06
49,Multiple buyers,2015,104300,1647000,Corporation,Wholesale Trade,1981-12
49,Multiple buyers,2015,104300,1647000,Corporation,Wholesale Trade,1981-12
49,Multiple buyers,2015,104300,1647000,Corporation,Wholesale Trade,1981-12
50,One_buyer,2015,104400,61000,Corporation,Manufacturing,1982-10
51,Multiple buyers,2015,104500,2380000,Corporation,Manufacturing,1982-01
51,Multiple buyers,2015,104500,2380000,Corporation,Manufacturing,1982-01
51,Multiple buyers,2015,104500,2380000,Corporation,Manufacturing,1982-01
51,Multiple buyers,2015,104500,2380000,Corporation,Manufacturing,1982-01
52,One_buyer,2015,104600,10000,Corporation,Manufacturing,1982-08
53,One_buyer,2015,104700,7000,Individual Business,Manufacturing,1980-11
54,Multiple buyers,2015,104800,2415000,Corporation,Wholesale Trade,1983-03
54,Multiple buyers,2015,104800,2415000,Corporation,Wholesale Trade,1983-03
55,Multiple buyers,2015,104900,816000,Corporation,Manufacturing,1982-06
55,Multiple buyers,2015,104900,816000,Corporation,Manufacturing,1982-06
55,Multiple buyers,2015,104900,816000,Corporation,Manufacturing,1982-06
55,Multiple buyers,2015,104900,816000,Corporation,Manufacturing,1982-06
56,One_buyer,2015,105000,40000,Corporation,Manufacturing,1984-07
57,One_buyer,2015,105100,20000,Corporation,Manufacturing,1980-05
58,One_buyer,2015,105200,49000,Corporation,Manufacturing,1985-04
59,Multiple buyers,2015,105300,1028000,Corporation,Manufacturing,1984-08
59,Multiple buyers,2015,105300,1028000,Corporation,Manufacturing,1984-08
59,Multiple buyers,2015,105300,1028000,Corporation,Manufacturing,1984-08
60,One_buyer,2015,105400,15000,Corporation,Wholesale Trade,1982-11
61,Multiple buyers,2015,105500,1740000,Corporation,Manufacturing,1982-06
61,Multiple buyers,2015,105500,1740000,Corporation,Manufacturing,1982-06
61,Multiple buyers,2015,105500,1740000,Corporation,Manufacturing,1982-06
61,Multiple buyers,2015,105500,1740000,Corporation,Manufacturing,1982-06
62,One_buyer,2015,105600,9000,Corporation,Manufacturing,1985-03
63,One_buyer,2015,105700,30000,Corporation,Transportation,1981-07
64,Multiple buyers,2015,105700,569000,Corporation,Transportation,1981-07
64,Multiple buyers,2015,105700,569000,Corporation,Transportation,1981-07
